id,name,geometry
11207531,4th Avenue South,"{""type"": ""LineString"", ""coordinates"": [[-80.049656, 26.610822], [-80.0501463, 26.6108357], [-80.050635, 26.6108494], [-80.051614, 26.6108768], [-80.0516812, 26.6108732], [-80.0525324, 26.6109019], [-80.0525921, 26.6109035], [-80.0526598, 26.6109054], [-80.0530902, 26.6109178], [-80.0535227, 26.6109303], [-80.0535518, 26.6109311], [-80.053572, 26.6109317], [-80.0536357, 26.6109335], [-80.0545, 26.6109577], [-80.054551, 26.6109591], [-80.0545719, 26.6109597], [-80.0546379, 26.6109618], [-80.0550332, 26.6109741], [-80.0554731, 26.6109851], [-80.0555117, 26.6109861], [-80.055529, 26.6109865], [-80.0556137, 26.6109889], [-80.0560256, 26.6110004], [-80.0564549, 26.6110124], [-80.056508, 26.6110139], [-80.0565243, 26.6110144], [-80.0565708, 26.6110158], [-80.0567346, 26.6110209], [-80.0570065, 26.6110293], [-80.0572497, 26.6110368], [-80.0574313, 26.6110424], [-80.0575164, 26.611045], [-80.0576114, 26.6110593], [-80.0577519, 26.6110654], [-80.058046, 26.6110702], [-80.058528, 26.6110887], [-80.0590461, 26.6111]]}"
11253705,8th Avenue South,"{""type"": ""LineString"", ""coordinates"": [[-80.0505015, 26.6059998], [-80.0505508, 26.6060016], [-80.051059, 26.6060158], [-80.0510927, 26.6060166], [-80.0511743, 26.606018], [-80.0512346, 26.606024], [-80.051727, 26.606038], [-80.0521631, 26.6060483], [-80.0522285, 26.6060503], [-80.0522771, 26.6060516], [-80.0523788, 26.6060543], [-80.0527188, 26.6060633], [-80.0531681, 26.6060751], [-80.053204, 26.606076], [-80.0532677, 26.6060779], [-80.0536984, 26.6060909], [-80.0537388, 26.6060921], [-80.0537903, 26.6060937], [-80.0541266, 26.6061038], [-80.054183, 26.6061055], [-80.0542468, 26.6061073], [-80.0551089, 26.606131], [-80.055162, 26.6061325], [-80.055221, 26.6061342], [-80.0556512, 26.6061462], [-80.055697, 26.6061475], [-80.0561115, 26.6061587], [-80.056141, 26.6061595], [-80.0562, 26.6061612], [-80.0566178, 26.6061729], [-80.056676, 26.6061745], [-80.0567307, 26.6061761], [-80.057077, 26.6061862], [-80.0571315, 26.6061906], [-80.0572017, 26.60619], [-80.0573046, 26.6061931], [-80.0573597, 26.6061948], [-80.0575894, 26.6062018], [-80.057686, 26.6062048], [-80.0577634, 26.6062067], [-80.057777, 26.606207], [-80.0580517, 26.6062139], [-80.0586558, 26.606229], [-80.058695, 26.60623], [-80.058761, 26.6062318], [-80.059427, 26.60625]]}"
11207404,4th Avenue North,"{""type"": ""LineString"", ""coordinates"": [[-80.049337, 26.620063], [-80.0493882, 26.6200645], [-80.0498323, 26.6200772], [-80.0502516, 26.6200892], [-80.050316, 26.620091], [-80.0503679, 26.6200924], [-80.050811, 26.6201047], [-80.0512353, 26.6201164], [-80.051295, 26.620118], [-80.0513468, 26.6201197], [-80.0517793, 26.6201337], [-80.0522027, 26.6201474], [-80.0522747, 26.6201497], [-80.0523456, 26.6201514], [-80.0527276, 26.6201605], [-80.0527574, 26.6201612], [-80.053201, 26.6201688], [-80.053252, 26.620173], [-80.0533048, 26.6201745], [-80.0537427, 26.6201865], [-80.0541778, 26.6201985], [-80.054231, 26.6202], [-80.0542871, 26.6202016], [-80.0547218, 26.620214], [-80.0551522, 26.6202269], [-80.05521, 26.620228], [-80.055264, 26.6202295], [-80.0557005, 26.6202415], [-80.0561265, 26.6202533], [-80.056189, 26.620255], [-80.0562394, 26.6202563], [-80.0566722, 26.6202678], [-80.0567951, 26.620271], [-80.0571209, 26.6202796], [-80.0571982, 26.6202816], [-80.0572885, 26.6202843], [-80.0575956, 26.6202936], [-80.0576507, 26.6202952], [-80.057715, 26.6202972], [-80.0581586, 26.6203105], [-80.058208, 26.620312], [-80.0582559, 26.6203133], [-80.0587161, 26.620326], [-80.0591322, 26.6203375], [-80.059187, 26.620339]]}"
11214149,6th Avenue North,"{""type"": ""LineString"", ""coordinates"": [[-80.049253, 26.622484], [-80.0493077, 26.6224855], [-80.0497345, 26.6224973], [-80.050232, 26.622511], [-80.0507211, 26.6225245], [-80.051155, 26.6225365], [-80.051211, 26.622538], [-80.0516957, 26.6225531], [-80.0517111, 26.6225536], [-80.0518571, 26.6225581], [-80.0521122, 26.622566], [-80.0521874, 26.6225683], [-80.0522523, 26.6225699], [-80.0525504, 26.6225774], [-80.0526737, 26.6225805], [-80.0531126, 26.6225916], [-80.053168, 26.622593], [-80.0532146, 26.6225943], [-80.0536425, 26.6226066], [-80.0536636, 26.6226072], [-80.054147, 26.622621], [-80.0542037, 26.6226196], [-80.0550657, 26.6226466], [-80.055126, 26.622648], [-80.0551809, 26.6226496], [-80.0556152, 26.622662], [-80.0560446, 26.6226743], [-80.056105, 26.622676], [-80.0561622, 26.622678], [-80.0565992, 26.6226931], [-80.0570129, 26.6227074], [-80.0571158, 26.622711], [-80.0571953, 26.6227127], [-80.05764, 26.6227219], [-80.05806, 26.6227307], [-80.058124, 26.622732], [-80.0581831, 26.6227336], [-80.0586816, 26.6227474], [-80.059104, 26.622759]]}"
11241562,5th Avenue North,"{""type"": ""LineString"", ""coordinates"": [[-80.049295, 26.621273], [-80.0493471, 26.6212745], [-80.0497733, 26.6212867], [-80.050274, 26.621301], [-80.0503286, 26.6213025], [-80.0507635, 26.6213145], [-80.0511883, 26.6213262], [-80.051253, 26.621328], [-80.0513157, 26.6213298], [-80.0517459, 26.6213421], [-80.0519582, 26.6213482], [-80.0519661, 26.6213484], [-80.0521656, 26.6213541], [-80.0522311, 26.621356], [-80.0523049, 26.621358], [-80.05272, 26.6213695], [-80.0531551, 26.6213769], [-80.05321, 26.621383], [-80.0532596, 26.6213844], [-80.0537067, 26.6213967], [-80.054141, 26.6214087], [-80.054189, 26.62141], [-80.0542484, 26.6214106], [-80.0546957, 26.6214245], [-80.0551068, 26.6214377], [-80.055168, 26.621438], [-80.0552227, 26.6214395], [-80.0556512, 26.6214513], [-80.0560917, 26.6214635], [-80.056147, 26.621465], [-80.0562014, 26.6214663], [-80.0566247, 26.6214767], [-80.056653, 26.6214774], [-80.0570652, 26.6214875], [-80.057157, 26.6214898], [-80.0572358, 26.6214923], [-80.0574026, 26.6214976], [-80.0576728, 26.6215062], [-80.0581055, 26.6215201], [-80.058166, 26.621522], [-80.0582127, 26.6215233], [-80.0587812, 26.621539], [-80.059145, 26.621549]]}"
11242318,3rd Avenue South,"{""type"": ""LineString"", ""coordinates"": [[-80.049615, 26.612032], [-80.0501043, 26.6120455], [-80.050593, 26.612059], [-80.0510917, 26.6120733], [-80.051572, 26.612087], [-80.0516324, 26.6120887], [-80.0520715, 26.6121032], [-80.0524885, 26.6121167], [-80.0525493, 26.6121187], [-80.052609, 26.6121201], [-80.0527181, 26.6121227], [-80.0530501, 26.6121306], [-80.0534834, 26.6121409], [-80.05353, 26.612142], [-80.0535882, 26.6121436], [-80.0544677, 26.6121679], [-80.054509, 26.612169], [-80.0545664, 26.6121704], [-80.0554298, 26.6121902], [-80.055488, 26.612197], [-80.0555413, 26.6121985], [-80.0559797, 26.6122106], [-80.0564123, 26.6122292], [-80.0564657, 26.6122315], [-80.0564863, 26.6122312], [-80.0565279, 26.6122318], [-80.0569519, 26.6122374], [-80.0574796, 26.6122624], [-80.0579981, 26.6122837], [-80.058486, 26.6122973], [-80.0589997, 26.61231]]}"
11221351,10th Avenue South,"{""type"": ""LineString"", ""coordinates"": [[-80.0505776, 26.6035821], [-80.0506269, 26.6035814], [-80.051156, 26.6035981], [-80.0512766, 26.6036019]]}"
202930010,10th Avenue South,"{""type"": ""LineString"", ""coordinates"": [[-80.0513244, 26.6036033], [-80.0517686, 26.603616]]}"
632244895,,"{""type"": ""LineString"", ""coordinates"": [[-80.0506092, 26.6028894], [-80.0505425, 26.6028912], [-80.0505196, 26.6028927], [-80.05049, 26.6028885], [-80.0504524, 26.6028772], [-80.0504219, 26.6028632], [-80.0503948, 26.6028579], [-80.0503728, 26.6028552], [-80.0503607, 26.6028592]]}"
1184665119,,"{""type"": ""LineString"", ""coordinates"": [[-80.0511022, 26.6038894], [-80.0510947, 26.6040348], [-80.0510802, 26.6043139]]}"
1184665135,,"{""type"": ""LineString"", ""coordinates"": [[-80.0513206, 26.6037612], [-80.0513191, 26.6036426], [-80.0513201, 26.6036268], [-80.0513244, 26.6036033]]}"
1184665136,10th Avenue South,"{""type"": ""LineString"", ""coordinates"": [[-80.0512766, 26.6036019], [-80.0513244, 26.6036033]]}"
1184665137,,"{""type"": ""LineString"", ""coordinates"": [[-80.0513495, 26.6034398], [-80.0513525, 26.6033041], [-80.0513322, 26.6031717]]}"
1188194152,,"{""type"": ""LineString"", ""coordinates"": [[-80.0512562, 26.6043173], [-80.051322, 26.6043154], [-80.051419, 26.6042968], [-80.0514255, 26.6042646], [-80.0514105, 26.6042334], [-80.051389, 26.6041936], [-80.0513253, 26.6041648], [-80.0512607, 26.6041605]]}"
1188194153,,"{""type"": ""LineString"", ""coordinates"": [[-80.0512617, 26.6041245], [-80.0513262, 26.6041256], [-80.0514099, 26.6041054], [-80.0514292, 26.6040795], [-80.0514287, 26.6040627], [-80.0514169, 26.6040301], [-80.0513756, 26.6039893], [-80.0513298, 26.6039634], [-80.0512666, 26.6039509]]}"
1188194154,,"{""type"": ""LineString"", ""coordinates"": [[-80.050931, 26.6043057], [-80.0510802, 26.6043139], [-80.0511421, 26.6043132]]}"
1188194155,,"{""type"": ""LineString"", ""coordinates"": [[-80.0509949, 26.6040313], [-80.0510947, 26.6040348], [-80.0511494, 26.6040365]]}"
1188194157,,"{""type"": ""LineString"", ""coordinates"": [[-80.0507146, 26.6041474], [-80.0506193, 26.6041474], [-80.0505741, 26.6041434]]}"
1188194158,,"{""type"": ""LineString"", ""coordinates"": [[-80.0506976, 26.6039848], [-80.0506255, 26.6039864], [-80.0505751, 26.6039871]]}"
1188194160,,"{""type"": ""LineString"", ""coordinates"": [[-80.0505217, 26.6038779], [-80.0505189, 26.6040343]]}"
1188196566,,"{""type"": ""LineString"", ""coordinates"": [[-80.0505748, 26.6040353], [-80.0505189, 26.6040343], [-80.0504705, 26.6040335], [-80.0503894, 26.6040227], [-80.0503467, 26.6040204], [-80.0503052, 26.6040096], [-80.0502899, 26.6039879], [-80.0503308, 26.6039446], [-80.0503671, 26.6038989], [-80.050392, 26.6038835], [-80.0505217, 26.6038779], [-80.0505758, 26.6038767]]}"
11196202,South M Street,"{""type"": ""LineString"", ""coordinates"": [[-80.0537388, 26.6060921], [-80.0537366, 26.6061559], [-80.0537011, 26.6071803], [-80.053657, 26.6084394], [-80.0536553, 26.6085138], [-80.0536548, 26.6085672], [-80.0536107, 26.6095866], [-80.0536111, 26.6097187], [-80.0536099, 26.6097558], [-80.053607, 26.609913], [-80.0536048, 26.6099784], [-80.0535736, 26.6108849], [-80.053572, 26.6109317], [-80.0535699, 26.610991], [-80.0535315, 26.6120978], [-80.05353, 26.612142], [-80.0535284, 26.6121922], [-80.0534928, 26.6133235], [-80.0534916, 26.6133627], [-80.05349, 26.6134019], [-80.0534659, 26.6140029], [-80.0534603, 26.6141701], [-80.0534486, 26.6145139], [-80.053447, 26.614562], [-80.0534451, 26.6146178], [-80.0534201, 26.6153394], [-80.0534179, 26.6154046], [-80.0534062, 26.6157417], [-80.0534041, 26.6158035]]}"
11224568,7th Avenue South,"{""type"": ""LineString"", ""coordinates"": [[-80.0521847, 26.6072627], [-80.052253, 26.6072643], [-80.05236, 26.6072669], [-80.0525558, 26.6072715], [-80.0526659, 26.6072741], [-80.0531131, 26.6072848], [-80.053162, 26.607286]]}"
11231369,South Palmway,"{""type"": ""LineString"", ""coordinates"": [[-80.05067, 26.609835], [-80.0506677, 26.6099006], [-80.0506361, 26.6108167], [-80.050635, 26.6108494], [-80.050593, 26.612059], [-80.050552, 26.61327], [-80.0505114, 26.6144395], [-80.05051, 26.61448], [-80.0505081, 26.6145343], [-80.0504695, 26.6156451], [-80.0504671, 26.6157155]]}"
11239320,Ocean Breeze,"{""type"": ""LineString"", ""coordinates"": [[-80.0514461, 26.6157428], [-80.0514484, 26.6156751], [-80.0514519, 26.6155748], [-80.0514871, 26.6145614], [-80.051489, 26.614507], [-80.05153, 26.613297], [-80.051572, 26.612087], [-80.051614, 26.6108768], [-80.0516156, 26.610829], [-80.0516469, 26.6099212], [-80.051649, 26.609861]]}"
82690518,6th Avenue South,"{""type"": ""LineString"", ""coordinates"": [[-80.0521427, 26.6084688], [-80.0522174, 26.6084708], [-80.0524105, 26.608476], [-80.0524181, 26.6084762], [-80.0530418, 26.6084929], [-80.05312, 26.608495], [-80.0531764, 26.6084967], [-80.0535942, 26.6085125], [-80.0536248, 26.6085137], [-80.0536553, 26.6085138], [-80.0537196, 26.6085135], [-80.0546047, 26.6085448], [-80.0546462, 26.6085463], [-80.0546994, 26.6085479], [-80.0551187, 26.6085605], [-80.0551424, 26.6085612], [-80.0555554, 26.6085737], [-80.055615, 26.6085755], [-80.0556706, 26.6085768], [-80.056108, 26.6085871], [-80.0565243, 26.6085978], [-80.0565989, 26.6085987], [-80.0566195, 26.6085991], [-80.0566489, 26.6085996], [-80.0570758, 26.6086068], [-80.0571112, 26.6086074], [-80.0571386, 26.6086051], [-80.0572037, 26.6085995], [-80.057405, 26.6085823], [-80.0576106, 26.6085647]]}"
