id,name,elevation_m,distance_to_coastline_m,flood_onset_threshold_m,cii_max,inundation_depth_cm
578189520,,4.0,251.54097000201384,4.57,0.0,0.0
578189521,,4.0,270.9658195244505,4.57,0.0,0.0
578189522,,3.0,258.39544067377733,3.5700000000000003,0.0,0.0
578189525,,3.0,336.3478299588878,3.5700000000000003,0.0,0.0
578189526,,3.0,301.1231167279931,3.5700000000000003,0.0,0.0
578189527,,3.0,162.3108053052515,3.5700000000000003,0.0,0.0
578189528,,4.0,193.5476871956703,4.57,0.0,0.0
578191162,,4.0,120.12699855181776,4.57,0.0,0.0
578191163,,4.0,101.6226592845689,4.57,0.0,0.0
578191164,,4.0,120.12699855181776,4.57,0.0,0.0
578191165,,5.0,139.122029908684,5.57,0.0,0.0
578191166,,8.0,120.11478311783496,8.57,0.0,0.0
578191167,,3.0,87.96280361631139,3.5700000000000003,0.0,0.0
578191168,,3.0,104.38945186742215,3.5700000000000003,0.0,0.0
578191169,,3.0,119.95903922237838,3.5700000000000003,0.0,0.0
578191170,,3.0,133.42480924775202,3.5700000000000003,0.0,0.0
578191171,,3.0,131.79323125452822,3.5700000000000003,0.0,0.0
578191172,,3.0,104.38945186742215,3.5700000000000003,0.0,0.0
578191173,,3.0,120.1766801401714,3.5700000000000003,0.0,0.0
611649803,,4.0,452.1501971288544,4.57,0.0,0.0
682598390,Stockdale Boulevard,4.0,426.10983697713056,4.57,0.0,0.0
684368171,,4.0,436.3947808483925,4.57,0.0,0.0
684368173,Stockdale Boulevard,4.0,444.3935660464936,4.57,0.0,0.0
851442654,,3.0,163.72329584939447,3.5700000000000003,0.0,0.0
885722594,,4.0,164.4183370477574,4.57,0.0,0.0
1029897956,,4.0,475.7276429259679,4.57,0.0,0.0
1029897957,,4.0,495.2785127843055,4.57,0.0,0.0
1031458983,South R Avenue,4.0,442.6161705912577,4.57,0.0,0.0
1031458984,Stockdale Boulevard,4.0,413.7247294078794,4.57,0.0,0.0
1063813822,,5.0,195.48408118601225,5.57,0.0,0.0
1063813823,,5.0,235.07773022619568,5.57,0.0,0.0
1063813824,,8.0,197.07871004117936,8.57,0.0,0.0
1063813825,,5.0,223.4801659268785,5.57,0.0,0.0
1063813826,,5.0,214.14426028990405,5.57,0.0,0.0
1063813827,,5.0,338.00790580908284,5.57,0.0,0.0
1063813828,,4.0,268.7746831495099,4.57,0.0,0.0
1063813829,,4.0,174.56791526963391,4.57,0.0,0.0
1063813830,,4.0,205.36519363421868,4.57,0.0,0.0
1063813831,,8.0,157.06459350935685,8.57,0.0,0.0
1166012861,,3.0,502.2735570012754,3.5700000000000003,0.0,0.0
1172637275,,3.0,525.1556275713666,3.5700000000000003,0.0,0.0
1172637277,,6.0,606.147416275403,6.57,0.0,0.0
1172637290,,4.0,577.4731204330348,4.57,0.0,0.0
1172637291,,4.0,500.48540990211393,4.57,0.0,0.0
1189300052,,4.0,565.0553676213256,4.57,0.0,0.0
1203169820,,4.0,74.011011477768,4.57,0.0,0.0
1203169821,,3.0,163.62248560581554,3.5700000000000003,0.0,0.0
1203169822,,4.0,225.90615022538697,4.57,0.0,0.0
1203169823,,3.0,150.3824515603063,3.5700000000000003,0.0,0.0
1203169824,,3.0,122.80558448926088,3.5700000000000003,0.0,0.0
1203169825,,3.0,113.657506271937,3.5700000000000003,0.0,0.0
1203169826,,3.0,76.40875562386759,3.5700000000000003,0.0,0.0
1203169827,,3.0,73.35444002214682,3.5700000000000003,0.0,0.0
1203169829,,3.0,52.70373040206896,3.5700000000000003,0.0,0.0
1203169830,,3.0,33.561236629704034,3.5700000000000003,0.0,0.0
1203169831,,4.0,53.62971183243011,4.57,0.0,0.0
1203286994,,4.0,240.07415336719475,4.57,0.0,0.0
1300559268,,4.0,464.3240617888183,4.57,0.0,0.0
1300559269,,4.0,477.8307265917431,4.57,0.0,0.0
1356777996,,3.0,202.91059195286252,3.5700000000000003,0.0,0.0
1356777997,,3.0,202.4145885204885,3.5700000000000003,0.0,0.0
1356777998,,3.0,204.0182880476401,3.5700000000000003,0.0,0.0
1357578320,,8.0,191.1916596076662,8.57,0.0,0.0
1357578321,,8.0,189.71319669155767,8.57,0.0,0.0
5958214,,0.0,46.18241772904852,0.5700000000000003,0.1766808979337591,19.299999999999972
6055646,Palm Avenue,6.0,184.0829164838454,6.57,0.0,0.0
436434801,Quay Road,3.0,105.9300625435385,3.5700000000000003,0.0,0.0
436434802,Quay Road,3.0,75.5313095377034,3.5700000000000003,0.0,0.0
436434805,Quay Road,8.0,89.24766638998773,8.57,0.0,0.0
436434807,Quay Road,8.0,69.91503818798265,8.57,0.0,0.0
436434808,Quay Road,3.0,116.75782806936245,3.5700000000000003,0.0,0.0
436434809,3rd Street,6.0,401.35508821254336,6.57,0.0,0.0
436434812,Colorado Street,8.0,66.98653774578423,8.57,0.0,0.0
436434829,Stockdale Boulevard,6.0,403.965586258791,6.57,0.0,0.0
492873560,Stockdale Boulevard,8.0,485.8088024493604,8.57,0.0,0.0
492873561,Stockdale Boulevard,8.0,445.469490483778,8.57,0.0,0.0
566038588,,4.0,301.8220960615907,4.57,0.0,0.0
566038591,,4.0,390.62063308949496,4.57,0.0,0.0
566038592,,4.0,378.3953546305336,4.57,0.0,0.0
566038594,,4.0,405.0873235003765,4.57,0.0,0.0
566038601,,3.0,214.06223635972472,3.5700000000000003,0.0,0.0
578104641,,8.0,504.1447073755052,8.57,0.0,0.0
578104642,,8.0,469.79542888934816,8.57,0.0,0.0
578104643,,8.0,485.3894694109716,8.57,0.0,0.0
578113199,,8.0,164.7678876563589,8.57,0.0,0.0
578113200,,3.0,260.00530176301515,3.5700000000000003,0.0,0.0
578113201,,3.0,268.02724025395133,3.5700000000000003,0.0,0.0
578113202,,3.0,311.51413066200234,3.5700000000000003,0.0,0.0
578113203,,3.0,316.27901899973045,3.5700000000000003,0.0,0.0
578113204,,3.0,231.3907594795469,3.5700000000000003,0.0,0.0
578192659,,8.0,62.35254495456231,8.57,0.0,0.0
578192660,,3.0,40.56865836555852,3.5700000000000003,0.0,0.0
578192661,,3.0,70.34612417449286,3.5700000000000003,0.0,0.0
578192662,,3.0,81.72440337088511,3.5700000000000003,0.0,0.0
578192663,,3.0,104.08005851393123,3.5700000000000003,0.0,0.0
578192664,,3.0,88.4400469580725,3.5700000000000003,0.0,0.0
578192665,,3.0,58.79357042624422,3.5700000000000003,0.0,0.0
578192666,,3.0,96.36211591865418,3.5700000000000003,0.0,0.0
578192667,,8.0,185.39062297530947,8.57,0.0,0.0
578192668,,8.0,118.06221461271166,8.57,0.0,0.0
578192669,,8.0,157.30728307896808,8.57,0.0,0.0
578192670,,8.0,137.29086508155874,8.57,0.0,0.0
594136447,Alameda Boulevard,6.0,391.3778370715851,6.57,0.0,0.0
609221906,,4.0,435.465094831993,4.57,0.0,0.0
610353864,Stockdale Boulevard,8.0,413.8138971665593,8.57,0.0,0.0
611649805,,4.0,445.2416946635502,4.57,0.0,0.0
623090391,,3.0,73.10725681748958,3.5700000000000003,0.0,0.0
623090392,,3.0,59.154729299278415,3.5700000000000003,0.0,0.0
663640981,2nd Street,3.0,225.07519371424465,3.5700000000000003,0.0,0.0
663640982,Alameda Boulevard,3.0,227.8666017672816,3.5700000000000003,0.0,0.0
754122206,Stockdale Boulevard,8.0,481.6419919315791,8.57,0.0,0.0
1029888984,,8.0,473.3000526611698,8.57,0.0,0.0
1029898854,,4.0,456.7547023041693,4.57,0.0,0.0
1166012879,,3.0,195.29390123658644,3.5700000000000003,0.0,0.0
1166012880,,3.0,266.28630774536737,3.5700000000000003,0.0,0.0
1188553491,,4.0,382.6421893439162,4.57,0.0,0.0
1202878070,,4.0,51.60001063730879,4.57,0.0,0.0
1202878071,,4.0,61.9132347970535,4.57,0.0,0.0
1202878072,,6.0,55.49406401480684,6.57,0.0,0.0
1202878073,,6.0,214.59353655975292,6.57,0.0,0.0
1202878074,,6.0,216.36321794892976,6.57,0.0,0.0
1202878075,,8.0,291.6397813079969,8.57,0.0,0.0
1202878076,,6.0,236.14935619393492,6.57,0.0,0.0
1202878078,,6.0,245.40073653837737,6.57,0.0,0.0
1202878079,,6.0,226.35728467732773,6.57,0.0,0.0
1203169832,,9.0,65.93028139518987,9.57,0.0,0.0
1203181021,,8.0,69.28257300584636,8.57,0.0,0.0
1203181022,,8.0,61.97551047538188,8.57,0.0,0.0
1221871705,Alameda Boulevard,3.0,77.74845010851055,3.5700000000000003,0.0,0.0
1221871706,Palm Avenue,3.0,104.20133218608352,3.5700000000000003,0.0,0.0
1221871707,2nd Street,6.0,224.3569878071419,6.57,0.0,0.0
1221871709,2nd Street,6.0,218.54926537913292,6.57,0.0,0.0
1221871710,Palm Avenue,6.0,234.78969418293173,6.57,0.0,0.0
1221871711,,6.0,58.232718017194486,6.57,0.0,0.0
1271803185,,3.0,69.20875607761748,3.5700000000000003,0.0,0.0
1271803186,,3.0,71.97732293285249,3.5700000000000003,0.0,0.0
1271803187,,3.0,77.74845010851055,3.5700000000000003,0.0,0.0
1271803188,,0.0,68.3555757701691,0.5700000000000003,0.16978807653859,19.299999999999972
1271803189,,6.0,164.9510599843628,6.57,0.0,0.0
1271803190,,6.0,93.75670436778708,6.57,0.0,0.0
1271803191,,0.0,72.7109515858788,0.5700000000000003,0.1684968651861541,19.299999999999972
1271803192,,3.0,103.73802411229026,3.5700000000000003,0.0,0.0
1271803193,,3.0,150.22572403728532,3.5700000000000003,0.0,0.0
1271803194,,3.0,230.52358291651905,3.5700000000000003,0.0,0.0
1271804708,,3.0,312.486715077093,3.5700000000000003,0.0,0.0
1271804709,,3.0,317.5790857782033,3.5700000000000003,0.0,0.0
1271804710,,6.0,396.5212128767117,6.57,0.0,0.0
1271804711,,6.0,403.965586258791,6.57,0.0,0.0
1271806754,,6.0,401.35508821254336,6.57,0.0,0.0
1271806755,,6.0,393.4051859588028,6.57,0.0,0.0
1271806756,,3.0,288.452125518663,3.5700000000000003,0.0,0.0
1271806757,,3.0,225.60295753900485,3.5700000000000003,0.0,0.0
1271806758,,3.0,163.1273984121738,3.5700000000000003,0.0,0.0
1271806759,,6.0,200.1751312081577,6.57,0.0,0.0
1271806760,,3.0,209.22910518533592,3.5700000000000003,0.0,0.0
1271806761,,6.0,217.77177225763663,6.57,0.0,0.0
1271806762,,6.0,197.31599701698465,6.57,0.0,0.0
1271806763,,6.0,184.0829164838454,6.57,0.0,0.0
1271807212,,6.0,180.64696926328384,6.57,0.0,0.0
1271807213,,3.0,230.33960427906163,3.5700000000000003,0.0,0.0
1271807214,,6.0,227.2971042042864,6.57,0.0,0.0
1271807215,,6.0,230.8768143619911,6.57,0.0,0.0
1271807216,,6.0,221.90464971601511,6.57,0.0,0.0
1271807217,,6.0,214.59353655975292,6.57,0.0,0.0
1271807218,,6.0,386.0034827306832,6.57,0.0,0.0
1271807219,,6.0,387.5825409631656,6.57,0.0,0.0
1271807220,,6.0,386.40163189429234,6.57,0.0,0.0
1271807221,,6.0,228.64549256961425,6.57,0.0,0.0
1355301071,,3.0,116.75782806936245,3.5700000000000003,0.0,0.0
1377945139,,3.0,67.70042416921348,3.5700000000000003,0.0,0.0
1377945140,Quay Road,3.0,70.61745983864161,3.5700000000000003,0.0,0.0
1377945141,Quay Road,3.0,118.2087931799164,3.5700000000000003,0.0,0.0
1377945142,Quay Road,3.0,123.26335583765804,3.5700000000000003,0.0,0.0
5954180,,6.0,497.8817131757981,6.57,0.0,0.0
5995153,2nd Street,11.0,251.10742946071176,11.57,0.0,0.0
350677949,Cecil Road,7.0,439.2057934084713,7.57,0.0,0.0
578189502,,10.0,361.2067195530772,10.57,0.0,0.0
578189503,,10.0,380.5914822746923,10.57,0.0,0.0
578216078,,8.0,400.0344918146582,8.57,0.0,0.0
578216079,,7.0,422.3536754357991,7.57,0.0,0.0
578216084,,8.0,246.75262744883472,8.57,0.0,0.0
578216088,,11.0,220.6658370705004,11.57,0.0,0.0
578216089,,11.0,220.6658370705004,11.57,0.0,0.0
578218574,,7.0,445.6456430130608,7.57,0.0,0.0
578218575,,7.0,440.0516523868625,7.57,0.0,0.0
578218576,,7.0,429.2319349530728,7.57,0.0,0.0
578218577,,7.0,418.60675029328326,7.57,0.0,0.0
578218578,,7.0,436.0608642402288,7.57,0.0,0.0
578218579,,7.0,439.10593559976576,7.57,0.0,0.0
578218580,,7.0,460.08944422109687,7.57,0.0,0.0
578218581,,7.0,546.594198249072,7.57,0.0,0.0
578218583,,6.0,655.9098165054291,6.57,0.0,0.0
578569221,,5.0,299.7649160107841,5.57,0.0,0.0
578569234,,6.0,205.65349629324945,6.57,0.0,0.0
578569235,,9.0,229.5137839492803,9.57,0.0,0.0
578569236,,9.0,229.5137839492803,9.57,0.0,0.0
578569245,,9.0,248.41332819842577,9.57,0.0,0.0
578569246,,9.0,262.1718396545156,9.57,0.0,0.0
578569249,,9.0,378.9776541963696,9.57,0.0,0.0
578569250,,9.0,342.3816939006728,9.57,0.0,0.0
578569251,,5.0,378.615857432756,5.57,0.0,0.0
578587517,,6.0,232.8627624545624,6.57,0.0,0.0
578587549,,6.0,207.80308179505093,6.57,0.0,0.0
578587551,,6.0,219.0395924742412,6.57,0.0,0.0
578587553,,6.0,272.4563706373329,6.57,0.0,0.0
578587555,,6.0,337.64711967832653,6.57,0.0,0.0
578587557,Corry Street,6.0,275.2400575500868,6.57,0.0,0.0
802369517,,11.0,104.72274468570382,11.57,0.0,0.0
1073121381,,5.0,400.883706132752,5.57,0.0,0.0
1106109823,,6.0,268.0661150754604,6.57,0.0,0.0
1172637299,Quentin Roosevelt Boulevard,6.0,244.84816098403027,6.57,0.0,0.0
1172637300,Quentin Roosevelt Boulevard,6.0,325.39590099083176,6.57,0.0,0.0
1172637301,,6.0,242.7722349804704,6.57,0.0,0.0
1173836095,,5.0,436.64182488236565,5.57,0.0,0.0
1188553494,,6.0,519.8197572095906,6.57,0.0,0.0
5951726,,9.0,253.85357175392767,9.57,0.0,0.0
5954945,,6.0,79.37148766531341,6.57,0.0,0.0
5978406,Roe Road,7.0,333.60096636825324,7.57,0.0,0.0
5987707,Maxfield Boulevard,4.0,235.7806962541986,4.57,0.0,0.0
5989503,Carson Street,4.0,225.3905602638033,4.57,0.0,0.0
5995122,2nd Street,4.0,62.56366085213739,4.57,0.0,0.0
5995145,2nd Street,8.0,737.2155040045202,8.57,0.0,0.0
6003960,1st Street,7.0,409.7856492324779,7.57,0.0,0.0
6007053,Wright Avenue,6.0,282.6435979525974,6.57,0.0,0.0
6007054,Wright Avenue,6.0,119.05041676416026,6.57,0.0,0.0
6044268,Saufley Street,6.0,18.69322328614604,6.57,0.0,0.0
6052619,Murray Street,9.0,287.3289249143484,9.57,0.0,0.0
330872056,Saufley Street,10.0,489.8314155348335,10.57,0.0,0.0
578216065,,6.0,237.778437043434,6.57,0.0,0.0
578218586,,6.0,519.8197572095906,6.57,0.0,0.0
578563212,,4.0,85.49404312799548,4.57,0.0,0.0
578563214,,6.0,123.1443240556783,6.57,0.0,0.0
578563215,,6.0,125.4033008359598,6.57,0.0,0.0
578563217,,4.0,61.75578153960836,4.57,0.0,0.0
578563223,,6.0,170.90924694436967,6.57,0.0,0.0
578569237,,6.0,191.6361623771547,6.57,0.0,0.0
578569238,,5.0,157.98134938993164,5.57,0.0,0.0
578569239,,5.0,163.9440675514018,5.57,0.0,0.0
578569240,,9.0,262.1718396545156,9.57,0.0,0.0
578569241,,5.0,171.04472689200793,5.57,0.0,0.0
578569244,,9.0,218.85052890308745,9.57,0.0,0.0
578587536,,6.0,136.25419521462115,6.57,0.0,0.0
578587538,,6.0,156.21203123482766,6.57,0.0,0.0
578587542,,6.0,156.52137640012683,6.57,0.0,0.0
1172637298,Quentin Roosevelt Boulevard,4.0,112.93867916081471,4.57,0.0,0.0
1173836090,,5.0,241.0580345222607,5.57,0.0,0.0
1301055626,,4.0,113.73494933670534,4.57,0.0,0.0
330872053,Roe Road,5.0,117.20704183316352,5.57,0.0,0.0
578569222,,4.0,20.4836156168786,4.57,0.0,0.0
578569223,,4.0,14.19800090786096,4.57,0.0,0.0
578569224,,4.0,15.299043978503056,4.57,0.0,0.0
578569225,,4.0,100.8685115937514,4.57,0.0,0.0
578569226,,4.0,101.91766070026358,4.57,0.0,0.0
578569227,,4.0,103.65112733008064,4.57,0.0,0.0
578569228,,4.0,100.889843338236,4.57,0.0,0.0
578569229,,4.0,51.01034738282672,4.57,0.0,0.0
578569230,,4.0,30.37039138143947,4.57,0.0,0.0
578569231,,4.0,67.65700526945982,4.57,0.0,0.0
578569232,,4.0,98.73090108829714,4.57,0.0,0.0
578569233,,4.0,13.578716130891411,4.57,0.0,0.0
578569242,,5.0,167.147292127187,5.57,0.0,0.0
578569243,,5.0,163.9440675514018,5.57,0.0,0.0
578569247,,4.0,137.38016422401316,4.57,0.0,0.0
578569248,,5.0,132.50423208295393,5.57,0.0,0.0
578587540,,6.0,126.0936790086214,6.57,0.0,0.0
1164564338,,5.0,6.187206493704589,5.57,0.0,0.0
1176583342,,4.0,149.8211626228478,4.57,0.0,0.0
1176583343,,4.0,171.25745622215018,4.57,0.0,0.0
1301055627,,4.0,112.93867916081471,4.57,0.0,0.0
1301055628,,4.0,104.3400269007807,4.57,0.0,0.0
1301055629,,5.0,118.98848927155738,5.57,0.0,0.0
1301055630,,4.0,118.585274761761,4.57,0.0,0.0
1301055631,,5.0,117.9491544647253,5.57,0.0,0.0
1301055632,,5.0,109.68123922108988,5.57,0.0,0.0
